	mean	total	bio	tech	p.value	FDR
Rhof	7.19482125620845	9.07101454217233	3.62301713664254	5.44799740552979	0.000149091029296462	0.0160995196751916
Mllt3	8.78558181032496	5.6026760913018	3.60974421853967	1.99293187276213	4.78918989364155e-16	4.76524394417334e-13
Rap1b	8.43985122270598	6.07247516088727	3.60550356220993	2.46697159867734	4.29270299874497e-12	2.49155636552156e-09
Ccnd3	8.04372638681706	6.80886122072346	3.60044009024441	3.20842113047905	1.39118016958482e-08	4.03732078381593e-06
Chmp2b	7.36554949863198	8.52385253152812	3.53799014993441	4.98586238159372	6.68093337308983e-05	0.00825270489763851
Rbm5	8.32862954480438	6.09011129483556	3.44336994164627	2.64674135318929	2.18182026149796e-10	1.05022447479873e-07
Ctsd	8.58451906755809	5.64960154684067	3.39173970393317	2.2578618429075	1.54428964307944e-12	1.02437879657603e-09
Lta4h	7.13246195142493	8.99729946965374	3.36113725525391	5.63616221439983	0.000487547074965774	0.0438163274469241
Dnaja2	8.24903150271135	6.15014991372208	3.36106867033732	2.78908124338476	2.09027373682701e-09	7.10183247658542e-07
Adi1	7.24339869951006	8.63234090287276	3.31932191460928	5.31301898826348	0.00030100472991002	0.0297375594868551
Qdpr	7.75658682669709	7.21765351706754	3.30788418056144	3.9097693365061	4.93010280292897e-06	0.000891900416166241
Cnn2	7.45877428685579	8.01569139683105	3.2880767780549	4.72761461877615	8.63525669162013e-05	0.00994125005903045
C1d	7.8821883509674	6.84556831440467	3.25726965247242	3.58829866193225	1.41707575620548e-06	0.000278026271604823
Eif3l	7.77141071920499	7.12749524796167	3.25668779004074	3.87080745792093	5.41341239814898e-06	0.000942610433827691
Sord	8.05710997608842	6.41986997514244	3.2410238051105	3.17884617003194	1.34110455634115e-07	3.27747131049688e-05
Ltb	7.37375979024961	8.14203532531579	3.17870941597172	4.96332590934407	0.000229522344916767	0.02350916371096
Pttg1ip	8.06259966318395	6.28199250965127	3.11518952915806	3.16680298049321	2.89437000980862e-07	6.71976237277234e-05
Lamp1	8.18068202392698	6.02731258504128	3.10690310263195	2.92040948240933	5.10067895695829e-08	1.29186287037144e-05
Apoe	10.1602845094374	3.90956400770997	3.10089788403188	0.808666123678091	9.69000574102605e-43	2.69963559944986e-39
Cct7	8.97760217849857	4.8064076400792	3.04071334104005	1.76569429903915	5.19259802332327e-15	4.52080565405582e-12
Sypl	7.55444473790936	7.43836071035958	2.977816897512	4.46054381284758	0.00014244289176079	0.0156238541907701
Cat	7.78252329860917	6.71163464662306	2.86986857212914	3.84176607449392	3.34156129912711e-05	0.00470181301988289
Copz1	8.06258000799794	5.91213849541743	2.74529248721193	3.1668460082055	3.2508649612961e-06	0.000611953363660199
Slc25a11	8.14020460165959	5.74522178853636	2.74310620685687	3.00211558167949	1.25319357313058e-06	0.000252999803966797
Syngr2	7.54766857456732	7.16706551443895	2.68764130001114	4.47942421442781	0.000458574015954948	0.0417512159624342
Rab1	7.69845579978683	6.74239346111401	2.67758169475516	4.06481176635886	0.000166639978258122	0.0177198083750813
